"","x"
"V96",-0.809191647789662
"V97",-1.20690633937321
"V98",-0.351248101031627
"V99",3.24186032000495
"V100",-3.12511886998541
"V101",3.05922734883475
"V102",1.9843388546849
"V103",3.90169128376902
"V104",0.528562043395344
"V105",-1.58368712819632
"V106",1.00975759979324
"V107",-1.83634458353015
"V108",0.86143559155862
"V109",4.81016632133178
"V110",-2.73543489843723
"V111",-0.920853721381965
"V112",-3.60810100386478
"V113",0.468291712929534
"V114",2.30909768349184
"V115",2.97562475502848
"V116",3.11502175996381
"V117",2.20009138645365
"V118",-0.994301545276241
"V119",4.67866590764503
"V120",-2.44751618881418
"V121",0.264453096986793
"V122",-0.571687594978253
"V123",0.0596956556840666
"V124",-2.67760836707308
"V125",1.63649780624709
"V126",-18.8992424968149
"V127",3.08759453095726
"V128",2.18069785597471
"V129",-1.19684046490313
"V130",-0.437736112039814
"V131",1.7192232959033
"V132",4.8167275838824
"V133",1.12757938917969
"V134",0.715516481286822
"V135",0.174813305789269
"V136",-0.00258937445865576
"V137",-2.44557685609186
"V138",-6.85723462542211
"V139",-0.69490586886321
"V140",-1.21502265817205
"V141",1.34582009225301
"V142",-6.87700281995091
"V143",-0.222095278553768
"V144",6.08269433039343
"V145",0.34262938418382
"V146",3.2705740170302
"V147",4.76615306660752
"V148",4.63647850925748
"V149",2.65596073300467
"V150",0.0741147662935597
"V151",4.95403847753749
"V152",0.27741732788352
"V153",3.02601303573901
"V154",-4.4394574239521
"V155",-1.02573772756394
"V156",-0.255807065405556
"V157",-2.63983946604837
"V158",1.97649239722034
"V159",-2.58119381930514
"V160",3.08622600170271
"V161",4.45195457207983
"V162",5.82919759019844
"V163",-0.104733248586955
"V164",-1.36713438124934
"V165",1.97122248698792
"V166",0.381688564845991
"V167",4.03355697646192
"V168",0.345876065452958
"V169",-3.8500571408644
"V170",0.0610461318284515
"V171",-2.5291101319378
"V172",-1.74209299726606
"V173",-1.31830024044738
"V174",0.457747311915495
"V175",0.410884003426186
"V176",1.83595952395948
"V177",0.501883512651201
"V178",1.75064115731989
"V179",-2.55855141124988
"V180",-0.859923229329348
"V181",2.9371450001083
"V182",-1.48479558558717
"V183",0.160027573787061
"V184",0.475436311369637
"V185",-1.07809358048557
"V186",0.910591167328381
"V187",-5.21980467743462
"V188",-1.39507208482074
"V189",-2.60588670393404
"V190",3.46401402987125
"V191",-3.21455726500153
"V192",-2.34315508118795
"V193",0.143486084036507
"V194",-0.277747895635056
"V195",2.47106408962345
"V196",1.36870142346576
"V197",3.53801810878094
"V198",0.617614085593982
"V199",3.04333216308981
"V200",-1.95439091758341
"V201",-3.60516464275399
"V202",0.459455730197799
"V203",2.30779759148172
"V204",-0.311788210401849
"V205",-0.621072811248723
"V206",-0.819354045894155
"V207",-0.917585302790191
"V208",0.767610138339003
"V209",0.138380768916194
"V210",-1.01749043521318
"V211",-0.502014621582883
"V212",0.514038517345672
"V213",0.34332376746983
"V214",2.92010319020997
"V215",-3.35308979881652
"V216",-1.65164102424771
"V217",-0.783018222637816
"V218",-0.579679942779213
"V219",-2.02479901225278
"V220",0.663010465519716
"V221",0.0554448495024067
"V222",-5.04623935818023
"V223",0.516485638818524
"V224",3.03946950329146
"V225",1.1353754032431
"V226",-0.501849302545728
"V227",0.384610496595036
"V228",-1.23888443486957
"V229",0.716675575614272
"V230",0.954364986835376
"V231",-2.00732633024486
"V232",1.45742598095196
"V233",1.0702206208841
"V234",-0.574643487764556
"V235",-4.3341928754206
"V236",1.29298157875788
"V237",1.4831669762207
"V238",-2.97037342084859
"V239",1.43659640080944
"V240",-2.78071404356818
"V241",0.520682477603559
"V242",4.34834880760894
"V243",2.98276718297814
"V244",-1.14175942156854
"V245",-1.71320280055686
"V246",2.04865825761232
"V247",1.29235241276815
"V248",2.01046494502267
"V249",-0.829688008913378
"V250",-0.91124849513201
"V251",3.70760227065445
"V252",1.57059472206956
"V253",2.47917945972349
"V254",-2.33053653014749
"V255",0.949805065929546
"V256",-0.594072309253984
"V257",-0.400862616262064
"V258",-0.999458301079015
"V259",1.43116629594418
"V260",0.640832247013185
"V261",1.22374174214477
"V262",-2.02437337064357
"V263",-2.28000610905111
"V264",0.125934594933781
"V265",1.55455834017684
"V266",-1.0814582397912
"V267",-0.837527197415337
"V268",1.54638428929531
"V269",-0.740216897992799
"V270",-2.23189738627496
"V271",0.114257534341713
"V272",2.07386581219708
"V273",0.125050417555448
"V274",4.11067850367139
"V275",2.55582884823035
"V276",2.405931570432
"V277",-0.529268987214891
"V278",4.32098542479733
"V279",5.20850171844075
"V280",-5.37878242019519
"V281",0.453866525114358
"V282",1.86566818998881
"V283",-0.0789256167966128
"V284",-1.68085787688499
"V285",0.721014718851919
"V286",-0.669364887263204
"V287",-0.803240204634376
"V288",0.847199522333025
"V289",-1.49718693603072
"V290",-0.0694012001477735
"V291",-5.54529751231626
"V292",1.31540063096747
"V293",-0.618382581489376
"V294",1.44753146167058
"V295",3.12581392900505
"V296",-5.37566333221269
"V297",-0.671686813368669
"V298",-0.515533733819063
"V299",1.2163461748458
"V300",-1.17451667879663
"V301",0.152227867224864
"V302",2.98703068280092
"V303",-0.208532880137453
"V304",1.16096114948679
"V305",-4.45748156979853
"V306",1.79793037872114
"V307",2.36396011638986
"V308",-3.01810414231896
"V309",-4.99796853047163
"V310",-0.0719853901991927
"V311",0.329352628979218
"V312",-0.168428252503656
"V313",1.93714353531164
"V314",2.4325798076151
"V315",6.58723349045207
"V316",-4.23298890276591
